varietal,title,excerpt,points,price,location,region
Cabernet Sauvignon,Woodward Canyon 2013 Old Vines Cabernet Sauvignon (Washington),Barrel notes of vanilla and spice take the lead in this aromatically ...,94,99,Washington,United States
Cabernet Sauvignon,Santa Rita 2011 Casa Real Cabernet Sauvignon (Maipo Valley),"Despite cool conditions in 2011, or quite possibly because of them, this ...",93,85,Chile,Chile
Cabernet Sauvignon,Volker Eisele Family Estate 2012 Cabernet Sauvignon (Napa Valley),From an organically farmed estate vineyard in Chiles Valley operated by the ...,93,50,Napa,United States
Cabernet Sauvignon,Tierra Roja 2012 Cabernet Sauvignon (Oakville),"Plummy in dark chocolate, cedar and coffee, this well-structured, 100% varietal wine ...",93,145,Napa,United States
Cabernet Sauvignon,Castello di Amorosa 2012 Melanson Vineyard Cabernet Sauvignon (Napa Valley),"From a vineyard atop Pritchard Hill, this wine delivers big, bold flavors ...",93,145,Napa,United States
Cabernet Sauvignon,Beauregard 2012 Beauregard Ranch Cabernet Sauvignon (Ben Lomond Mountain),Luscious but not overbearing blueberry and boysenberry fruits power the nose on ...,92,65,Central Coast,United States
Cabernet Sauvignon,Cono Sur 2011 Silencio Cabernet Sauvignon (Maipo Valley),"Earthy, spicy berry aromas come with accents of tomato, oregano and other ...",92,175,Chile,Chile
Cabernet Sauvignon,Smith & Hook 2013 Cabernet Sauvignon (Central Coast),"Truly a wine that overdelivers, this packs molten fudge cake, vanilla-laced black-currant ...",92,25,Central Coast,United States
Cabernet Sauvignon,Tamarack Cellars 2013 Cabernet Sauvignon (Columbia Valley (WA)),"Still seeming to need time to open up and stretch its legs, ...",92,36,Columbia Valley,United States
Cabernet Sauvignon,Woodinville Wine Cellars 2012 Reserve Cabernet Sauvignon (Columbia Valley (WA)),"The aromas of coffee, chocolate and exotic spices are brooding. Flavors are ...",92,50,Columbia Valley,United States
Cabernet Sauvignon,Woodward Canyon 2013 Artist Series Cabernet Sauvignon (Washington),The variety quickly announces itself with aromas of dark cherry and dried ...,92,59,Washington,United States
Cabernet Sauvignon,Seven Hills 2013 Cabernet Sauvignon (Columbia Valley (WA)),"The aromas of cedar, fresh dark berries, thyme, garden herbs and flowers ...",91,30,Columbia Valley,United States
Cabernet Sauvignon,Angelo Cellars 2010 Reverence Vineyard Private Reserve Cabernet Sauvignon (Coombsville),"Given plenty of time in bottle, this wine is drinking beautifully now, ...",91,80,Napa,United States
Cabernet Sauvignon,Co Dinn 2013 Painted Hills Vineyard Cabernet Sauvignon (Columbia Valley (WA)),"The first red release from this new winery, this wine brings aromatic ...",91,60,Columbia Valley,United States
Cabernet Sauvignon,Chateau Rollat 2011 Edouard Cabernet Sauvignon (Walla Walla Valley (WA)),"Aromas convey cedar, savory herb, earth, black licorice and cherry. The dark ...",91,62,Columbia Valley,United States
Cabernet Sauvignon,Amavi 2013 Cabernet Sauvignon (Walla Walla Valley (WA)),"Aromas of cocoa, herb, woodspice and blue and black fruit lead to ...",91,32,Columbia Valley,United States
Cabernet Sauvignon,Silverado 2012 GEO Cabernet Sauvignon (Coombsville),This is an inaugural release of this variety from the Mount George ...,91,75,Napa,United States
Cabernet Sauvignon,Elyse 2012 Holbrook Mitchell Vineyard Cabernet Sauvignon (Yountville),A strong pinch of menthol is at the aromatic heart of this ...,91,50,Napa,United States
Cabernet Sauvignon,Laelaps 2013 Seven Hills Vineyard Cabernet Sauvignon (Walla Walla Valley (WA)),"Aromas of cranberry, raspberry, rose hips and green herbs are all high-toned. ...",91,44,Columbia Valley,United States
Cabernet Sauvignon,Napa Cellars 2012 V Collection Cabernet Sauvignon (St. Helena),"This is a nicely made, full-bodied wine, richly layered in vanilla, cassis ...",91,50,Napa,United States
Cabernet Sauvignon,Dumas Station 2012 Cabernet Sauvignon (Walla Walla Valley (WA)),"This generous wine pulls no punches with aromas of pencil lead, vanilla, ...",91,38,Columbia Valley,United States
Cabernet Sauvignon,Castello di Amorosa 2012 Don Thomas Vineyard Cabernet Sauvignon (Rutherford),"On the western edge of the appellation, this vineyard provides a juicy, ...",91,145,Napa,United States
Cabernet Sauvignon,Brian Carter Cellars 2011 One Shaw Vineyard Cabernet Sauvignon (Red Mountain),This winery has made its mark over the years exclusively with blended ...,91,50,Columbia Valley,United States
Cabernet Sauvignon,Medlock Ames 2012 Bell Mountain Vineyard Cabernet Sauvignon (Alexander Valley),"Plum jam and cranberry rise aromatically from the glass, with pretty accents ...",90,45,Sonoma,United States
Cabernet Sauvignon,Riboli 2012 Cabernet Sauvignon (Rutherford),"Bouillon and wild streaks of spearmint and cedar highlight this soft, well-integrated ...",90,70,Napa,United States
Cabernet Sauvignon,Five Star Cellars 2012 Cabernet Sauvignon (Walla Walla Valley (WA)),"Reticent aromas of herbs, cherry, barrel spice and green pepper lead to ...",90,36,Columbia Valley,United States
Cabernet Sauvignon,J. Bookwalter 2013 Protagonist Cabernet Sauvignon (Columbia Valley (WA)),"Cabernet Sauvignon makes up 95% of this wine, with the balance Syrah. ...",90,60,Columbia Valley,United States
Cabernet Sauvignon,MontGras 2012 Intriga Maxima Cabernet Sauvignon (Maipo Valley),"Currant aromas blend with notes of tomato, herbs and brick dust on ...",90,90,Chile,Chile
Cabernet Sauvignon,Muscardini 2011 Madrone Ridge Vineyard Cabernet Sauvignon (Sonoma Valley),"This is a big, burly wine, hedonistically ripe in blackberry jam, black ...",90,48,Sonoma,United States
Cabernet Sauvignon,Burgess 2012 Estate Vineyards Cabernet Sauvignon (Napa Valley),"From a high perch on Howell Mountain, this producer has blended 92% ...",90,48,Napa,United States
Cabernet Sauvignon,Cairdean Estate 2011 Acquaintance Vineyard Cabernet Sauvignon (Coombsville),"Herb and clove wrap around strong, structured tannin in this pretty wine ...",90,98,Napa,United States
Cabernet Sauvignon,Castello di Amorosa 2012 Cabernet Sauvignon (Napa Valley),"This is a blend of Cabernet Sauvignon with smaller amounts of Merlot, ...",90,49,Napa,United States
Cabernet Sauvignon,Gamache 2012 Vineyard Select Reserve Cabernet Sauvignon (Columbia Valley (WA)),Champoux and Ciel du Cheval vineyards each make up 40% of this ...,90,50,Columbia Valley,United States
Cabernet Sauvignon,Michael David 2013 Earthquake Cabernet Sauvignon (Lodi),"Flavors are deep and rich in this bold, full-bodied and mouthfilling wine. ...",90,26,Central Valley,United States
Cabernet Sauvignon,Chateau Ste. Michelle 2013 Indian Wells Cabernet Sauvignon (Columbia Valley (WA)),"Aromas of barrel spice, vanilla, dill and blue-black fruit are bright and ...",90,18,Columbia Valley,United States
Cabernet Sauvignon,Daou 2012 Reserve Cabernet Sauvignon (Paso Robles),"A very high-toned, wound-up nose slowly reveals chalky aromas, concentrated purple fruit ...",90,56,Central Coast,United States
Cabernet Sauvignon,Genoa 2012 Danforth Reserve Cabernet Sauvignon (Red Mountain),"The pencil lead, herb and vanilla aromas start out light and elusive. ...",90,37,Columbia Valley,United States
Cabernet Sauvignon,Naggiar 2013 Della Casa Cabernet Sauvignon (Sierra Foothills),"This is a great find, but available only in limited quantities. A ...",90,16,Sierra Foothills,United States
Cabernet Sauvignon,OS Winery 2013 Sonas Cabernet Sauvignon (Yakima Valley),"Despite coming from a warm vintage, this appealing, well-priced wine has plenty ...",89,25,Columbia Valley,United States
Cabernet Sauvignon,Elevation Cellars 2011 Cabernet Sauvignon (Columbia Valley (WA)),"Reserved aromas of flowers, anise, plum and barrel spice lead to compact ...",89,27,Columbia Valley,United States
Cabernet Sauvignon,Full Pull & Friends 2009 Cabernet Sauvignon (Columbia Valley (WA)),"Already six years old, this wine offers aromas of black licorice, dried ...",89,34,Columbia Valley,United States
Cabernet Sauvignon,Sineann 2013 Cabernet Sauvignon (Columbia Valley (WA)),Aromas of cigar box and dried herbs are light and elusive. The ...,89,30,Columbia Valley,United States
Cabernet Sauvignon,J. Lohr 2013 Seven Oaks Cabernet Sauvignon (Paso Robles),This wine strikes a wide purple fruit note at first before centering ...,89,17,Central Coast,United States
Cabernet Sauvignon,Mollie 2012 Cabernet Sauvignon (Santa Ynez Valley),"Seared black cherries and savory hoisin umami notes mix with cinnamon, sandalwood, ...",89,26,Central Coast,United States
Cabernet Sauvignon,Ross Andrew 2013 The Huntsman Cabernet Sauvignon (Columbia Valley (WA)),"Herb and barrel spice aromas are light, with a high-toned berry top ...",89,15,Columbia Valley,United States
Cabernet Sauvignon,ded.reckoning 2013 Cutlass Cabernet Sauvignon (Yakima Valley),"The aromas of cigar box, lemon peel, woodspice and green herbs are ...",89,20,Columbia Valley,United States
Cabernet Sauvignon,Bogle 2013 Cabernet Sauvignon (California),"Oaky accents like nutmeg and cinnamon stand out in the aroma, and ...",89,11,California,United States
Cabernet Sauvignon,Cupcake 2013 Cabernet Sauvignon (Central Coast),"A screaming deal, this wine shows a nice blend of strawberries, peppercorn, ...",89,11,Central Coast,United States
Cabernet Sauvignon,Napa Cellars 2013 Classic Collection Cabernet Sauvignon (Napa Valley),"Tiny amounts of Zinfandel and Malbec are added to this wine, which ...",89,25,Napa,United States
Cabernet Sauvignon,One 2011 Cabernet Sauvignon (Yountville),"A 100% varietal wine entirely from Yountville, this presents a touch of ...",89,45,Napa,United States
Cabernet Sauvignon,Lapostolle 2013 Casa Grand Selection Cabernet Sauvignon (Rapel Valley),Earthy aromas of rubber and herbs meet black cherry on the nose. ...,88,14,Chile,Chile
Cabernet Sauvignon,Lucas & Lewellen 2012 Valley View VIneyard Cabernet Sauvignon (Santa Ynez Valley),"Slate, plum, red fruits, and baking spices of cinnamon and clove show ...",88,30,Central Coast,United States
Cabernet Sauvignon,Pianetta 2013 Cabernet Sauvignon (Monterey),"A light and tart nose of boysenberry fruit, anise, wild mint and ...",88,35,Central Coast,United States
Cabernet Sauvignon,Trentadue 2013 Reserve La Storia Cabernet Sauvignon (Alexander Valley),"Velvety tannins underlie a concentrated body of menthol, peppercorn, cedar and blackberry, ...",88,38,Sonoma,United States
Cabernet Sauvignon,Figge 2012 Reserve Cabernet Sauvignon (Santa Ynez Valley),"This blend of 75% Cabernet Sauvignon, 13% Cabernet Franc and 12% Merlot ...",88,35,Central Coast,United States
Cabernet Sauvignon,Elevation Cellars 2011 Reserve Cabernet Sauvignon (Columbia Valley (WA)),Fruit and barrel vie for attention on the aromas. The black licorice ...,88,45,Columbia Valley,United States
Cabernet Sauvignon,Hogue 2013 Genesis Cabernet Sauvignon (Columbia Valley (WA)),"Pleasing aromas of cocoa, bittersweet chocolate, dried herbs and plum lead to ...",88,16,Columbia Valley,United States
Cabernet Sauvignon,Ross Andrew 2013 Glaze Cabernet Sauvignon (Columbia Valley (WA)),"Blackberry and black-currant aromas are fresh and bright, with herbal notes providing ...",88,15,Columbia Valley,United States
Cabernet Sauvignon,Wild Hogge 2011 Cabernet Sauvignon (Paso Robles),"A densely layered nose shows boysenberry, plum blossoms, mocha, coffee, kola nut ...",88,30,Central Coast,United States
Cabernet Sauvignon,Barons 2011 Cabernet Sauvignon (Red Mountain),"Aromas of golden raisins, fig, licorice and vanilla lead to full-feeling dark-fruit ...",88,65,Columbia Valley,United States
Cabernet Sauvignon,Madrigal 2012 Cabernet Sauvignon (Atlas Peak),"A ripe, easygoing wine, made in small amounts, this dances in smoky ...",88,80,Napa,United States
Cabernet Sauvignon,Miro 2013 Silverwood Vineyard Reserve Cabernet Sauvignon (Pine Mountain-Cloverdale Peak),Let this wine open in the bottle or glass to reveal a ...,88,38,Sonoma,United States
Cabernet Sauvignon,Stottle 2012 Doc Stewart Vineyard Cabernet Sauvignon (Wahluke Slope),"Cocoa, toffee and dried-herb aromas are followed by soft-feeling cherry flavors with ...",88,34,Columbia Valley,United States
Cabernet Sauvignon,V. Sattui 2011 Cabernet Sauvignon (Mount Veeder),"A full-bodied wine bursting in chocolate and leather, this also displays plenty ...",88,90,Napa,United States
Cabernet Sauvignon,Edge 2012 Cabernet Sauvignon (Napa Valley),"This is a great wine for a great price, a blend of ...",88,20,Napa,United States
Cabernet Sauvignon,Muscardini 2012 Cassata Vineyards Cabernet Sauvignon (Sonoma Valley),"From a site farmed by organic vineyard guru Phil Coturri, this full-bodied, ...",88,48,Sonoma,United States
Cabernet Sauvignon,Round Pond 2012 Cabernet Sauvignon (Rutherford),"Soft and spicy, this wine is a mix of full-bodied ripeness and ...",88,60,Napa,United States
Cabernet Sauvignon,Wilridge 2013 Doc Stewart Vineyard Cabernet Sauvignon (Wahluke Slope),"This young wine still seems to be in its shell, with a ...",88,20,Columbia Valley,United States
Cabernet Sauvignon,J. Bookwalter 2013 Foreshadow Cabernet Sauvignon (Columbia Valley (WA)),"High-toned aromas of herbs, dark coffee, blue fruit and orange peel are ...",88,45,Columbia Valley,United States
Cabernet Sauvignon,North by Northwest 2013 Cabernet Sauvignon (Columbia Valley (WA)),"Aromas of dried herbs, bittersweet chocolate, coffee and cherry are varietal and ...",88,25,Columbia Valley,United States
Cabernet Sauvignon,Ochagavia 2013 Gran Reserva Cabernet Sauvignon (Maipo Valley),"Stalky, lightly green aromas of tobacco and mountain herbs blend with leathery ...",88,15,Chile,Chile
Cabernet Sauvignon,Las Positas 2012 Estate Cabernet Sauvignon (Livermore Valley),"Deeply flavored, full bodied and firmly tannic, this slightly rough-cut wine was ...",87,42,Central Coast,United States
Cabernet Sauvignon,Odfjell 2013 Armador Cabernet Sauvignon (Maipo Valley),"Herbal and savory smelling up front, this cool-vintage Cabernet also shows plum, ...",87,13,Chile,Chile
Cabernet Sauvignon,Peachy Canyon 2012 ChillHouse Cabernet Sauvignon (Paso Robles),A juicy wine certain to please those who opt for the hip ...,87,19,Central Coast,United States
Cabernet Sauvignon,Ded.Reckoning 2008 No. 11 Klipsun Vineyard Cabernet Sauvignon (Red Mountain),"Aromas of dried cherry, vanilla, Red Vines, woodspice and cocoa show some ...",87,35,Columbia Valley,United States
Cabernet Sauvignon,Jason-Stephens 2012 Estate Cabernet Sauvignon (Santa Clara Valley),"Fresh plum, blackberry, loamy earth and tobacco leaf elements shine on the ...",87,28,Central Coast,United States
Cabernet Sauvignon,Andretti 2012 Montona Reserve Cabernet Sauvignon (Napa Valley),"Perfumy in cedar and dried herb, this austere effort is swaddled in ...",87,90,Napa,United States
Cabernet Sauvignon,Mercer 2013 Cabernet Sauvignon (Horse Heaven Hills),"Fruit and barrel mix on this wine, with aromas of mesquite, vanilla, ...",87,20,Columbia Valley,United States
Cabernet Sauvignon,Bianchi 2012 Signature Selection Cabernet Sauvignon (Paso Robles),Fresh-crushed red currant aromas mix with dried purple flowers and mocha on ...,87,19,Central Coast,United States
Cabernet Sauvignon,Chilcas 2013 Reserva Cabernet Sauvignon (Colchagua Valley),"Plum, cherry and cassis aromas are lightly charred but not really dark ...",86,12,Chile,Chile
Cabernet Sauvignon,Two Angels 2011 Mayacamas Mountains Cabernet Sauvignon (Sonoma Valley),Grapes for this wine were sourced from the new appellation known as ...,86,27,Sonoma,United States
Cabernet Sauvignon,Siegel 2013 Single Vineyard Los Lingues Cabernet Sauvignon (Colchagua Valley),Blatant green aromas of bell pepper and thyme are the dominant aromas. ...,86,30,Chile,Chile
Cabernet Sauvignon,Angelo Cellars 2012 Cabernet Sauvignon (Napa Valley),"Tasting higher in alcohol than listed, this is a soft, somewhat jammy, ...",86,80,Napa,United States
Cabernet Sauvignon,Santa Alicia 2013 Gran Reserva de Los Andes Cabernet Sauvignon (Maipo Valley),"Gritty, leathery aromas register as less than fully ripe. In the mouth, ...",86,15,Chile,Chile
Cabernet Sauvignon,Falcor 2007 H Block Cabernet Sauvignon (Napa Valley),"Reminiscent of a Peppermint Patty or Thin Mint cookie, this is a ...",86,65,Napa,United States
Cabernet Sauvignon,Perry Creek 2011 Altitude 2401 Fair Play Farms Cabernet Sauvignon (El Dorado),This big but smooth wine has very ripe aromas and flavors that ...,86,28,Sierra Foothills,United States
Cabernet Sauvignon,Chateau Rollat 2011 Rollat Cabernet Sauvignon (Walla Walla Valley (WA)),"The fig, licorice and spice aromas seem somewhat dried out and tired. ...",86,38,Columbia Valley,United States
Cabernet Sauvignon,Chilcas 2013 Single Vineyard Cabernet Sauvignon (Colchagua Valley),"Concentrated aromas of licorice, mocha and generic black fruits are low on ...",86,19,Chile,Chile
Cabernet Sauvignon,Gamache 2011 Cabernet Sauvignon (Columbia Valley (WA)),"From a cool vintage, this wine shows aromas of bell pepper, fresh ...",86,30,Columbia Valley,United States
